"ccckey","circulations","holdings","circ_per_hold"
1002,37673,15385,2.44868378290543
1003,2378,3285,0.723896499238965
1004,0,23,0
1005,16140,14692,1.09855703784372
1007,5629,3864,1.45678053830228
1008,156,710,0.219718309859155
1009,34355,38668,0.888460742733009
1010,128,33,3.87878787878788
1011,423,1200,0.3525
1012,2421,4241,0.57085593020514
1013,10246,8285,1.23669281834641
1014,4488,5020,0.89402390438247
1015,4634,4336,1.06872693726937
1017,854,4467,0.191179762704276
1018,37140,10463,3.54965115167734
1019,7484,8201,0.91257163760517
1020,5587,4404,1.26861943687557
1021,7239,9837,0.735895089966453
1023,111413,125186,0.889979710191235
1024,17599,17079,1.03044674746765
1025,4,7,0.571428571428571
1026,3268,2535,1.28915187376726
1027,4561,6265,0.728012769353552
1029,7967,2922,2.72655715263518
1030,79608,80991,0.98292402859577
1031,2735,3137,0.871852087982149
1032,676,802,0.842892768079801
1033,2804,1804,1.55432372505543
1034,1026,1680,0.610714285714286
1038,1557,1261,1.23473433782712
1040,476,1552,0.306701030927835
1041,32404,13308,2.43492636008416
1042,4451,10864,0.40970176730486
1043,10206,1325,7.70264150943396
1045,8710,12544,0.694355867346939
1046,2355,13519,0.174199275094312
1047,2986,8927,0.334490870393189
1050,1881,1953,0.963133640552995
1051,21527,17592,1.22368121873579
1052,81983,4326,18.9512251502543
1053,4517,2099,2.1519771319676
1054,6777,4678,1.44869602394186
1057,32819,24649,1.33145360866567
1058,4433,1083,4.0932594644506
1059,8445,8000,1.055625
1060,38,834,0.0455635491606715
1061,5768,9661,0.5970396439292
1063,658,2537,0.259361450532125
1064,22554,2655,8.49491525423729
1065,11943,5807,2.05665576028931
1066,1708,7019,0.243339507052287
1068,5173,4608,1.12261284722222
1069,2852,6615,0.43114134542706
1070,4727,20902,0.226150607597359
1071,43895,35698,1.22962070704241
1072,2582,1882,1.37194473963868
1073,11140,7574,1.47082123052548
1074,1130,4352,0.259650735294118
1077,8005,9539,0.839186497536429
1082,9398,10104,0.930126682501979
1084,14305,18034,0.793223910391483
1086,21313,17755,1.2003942551394
1087,64848,51641,1.25574640305184
1090,18,58,0.310344827586207
1092,15959,9864,1.61790348742903
1093,48044,25144,1.91075405663379
1095,3594,6614,0.543392803144844
1097,13194,1830,7.20983606557377
1098,5144,5537,0.929022936608272
1099,12577,5674,2.21660204441311
1100,9642,7524,1.28149920255183
1101,21258,27125,0.783705069124424
1102,13549,15935,0.850266708503295
1103,2146,6520,0.329141104294479
1104,1511,666,2.26876876876877
1105,9132,4755,1.9205047318612
1106,54817,20519,2.67152395340904
1107,503,1923,0.261570462818513
1108,6331,7561,0.837323105409337
1109,54073,64242,0.841707916939074
1110,23765,28918,0.821806487308943
1111,6934,1761,3.93753549119818
1113,31642,17607,1.7971261430113
1114,735,1967,0.373665480427046
1115,59293,35521,1.66923791559922
1116,42877,80674,0.531484741056598
1117,5350,14294,0.374282915908773
1119,2188,1472,1.48641304347826
1120,2267,1978,1.14610717896866
1121,70594,22957,3.07505336063074
1122,10827,9356,1.15722530996152
1123,12399,10780,1.15018552875696
1124,13609,7421,1.83384988546018
1125,643,1265,0.508300395256917
1126,907,1275,0.711372549019608
1128,81,94,0.861702127659574
1130,150689,84969,1.77345855547317
1131,59577,56093,1.062111136862
1132,1663,939,1.77103301384452
1134,9909,4668,2.12275064267352
1135,42,2394,0.0175438596491228
1136,4714,2958,1.59364435429344
1137,12001,15623,0.768162324777572
1138,5566,2627,2.11876665397792
1139,16258,2584,6.29179566563467
1140,5530,11334,0.487912475736721
1141,2620,16817,0.155794731521675
1142,706,760,0.928947368421053
1143,5285,2457,2.15099715099715
1144,13708,8431,1.625904400427
1145,4919,3582,1.37325516471245
1147,5956,2286,2.60542432195976
1148,2387,15709,0.151951110828188
1149,279,224,1.24553571428571
1150,713,1265,0.563636363636364
1151,10885,7622,1.4281028601417
1153,16909,6175,2.7382995951417
1154,6050,4431,1.36538027533288
1155,4780,4382,1.09082610680055
1156,10203,11501,0.887140248674028
1157,1304,821,1.58830694275274
1158,12567,18419,0.68228459742657
1159,3848,7121,0.540373543041708
1160,1098,9582,0.114589855979962
1161,10533,3606,2.92096505823627
1162,2905,8507,0.341483484189491
1163,8368,8502,0.984239002587626
1164,621,1733,0.358338141950375
1165,939,3233,0.290442313640581
1167,2376,4622,0.514063176114236
1169,817,1652,0.49455205811138
1170,6907,11400,0.605877192982456
1171,18450,38319,0.481484381116417
1172,1158,2810,0.412099644128114
1173,12567,11201,1.12195339701812
1174,471,649,0.725731895223421
1175,2417,4287,0.563797527408444
1176,23177,3777,6.13635160180037
1178,25289,29707,0.85128084289898
1179,32271,52085,0.619583373332053
1180,167,961,0.173777315296566
1182,1094,2029,0.539181862986693
1184,11906,16057,0.741483465155384
1185,1779,3354,0.5304114490161
1187,858,3777,0.227164416203336
1188,946,2014,0.469712015888779
1189,17644,13384,1.31829049611476
1191,595,298,1.99664429530201
1192,1,6,0.166666666666667
1194,1908,6024,0.316733067729084
1195,73106,18593,3.93190985854892
1197,201,415,0.48433734939759
1198,1971,1138,1.73198594024605
1199,7009,7877,0.88980576361559
1200,1014,3420,0.296491228070175
1202,915,2394,0.382205513784461
1203,150123,76161,1.97112695474062
1205,11106,4920,2.25731707317073
1206,677,1555,0.435369774919614
1207,9835,17792,0.552776528776978
1208,9038,19364,0.466742408593266
1209,927,715,1.2965034965035
1210,5026,17756,0.283059247578283
1211,5015,4221,1.18810708362947
1212,3055,7628,0.400498164656529
1213,3017,922,3.27223427331887
1214,339,2035,0.166584766584767
1216,3597,2074,1.73432979749277
1217,467,2942,0.158735554044867
1218,355,1397,0.25411596277738
1221,84901,149961,0.566153866672001
1222,10197,2238,4.55630026809652
1224,1813,7684,0.235944820406039
1225,8316,3964,2.0978809283552
1226,34051,96077,0.354413647386992
1227,2144,5910,0.362774957698816
1228,11599,2324,4.99096385542169
1229,30,26,1.15384615384615
1230,9544,7434,1.28383104654291
1232,6609,4268,1.54850046860356
1233,468,1271,0.368214004720692
1234,14746,14828,0.994469921769625
1235,8949,11318,0.790687400600813
1236,799,1999,0.399699849924962
1237,5829,3828,1.52272727272727
1238,5707,4568,1.24934325744308
1239,429,493,0.870182555780933
1240,690,1593,0.433145009416196
1242,676,816,0.82843137254902
1243,6149,1178,5.21986417657046
1244,909,1889,0.481206987824246
1245,6,27,0.222222222222222
1246,12771,4255,3.00141010575793
1247,9399,5535,1.69810298102981
1249,18062,5047,3.57875965920349
1250,43174,16214,2.66276057727889
1252,17144,8533,2.00914098206961
1253,47311,20290,2.33173977328733
1254,3133,2910,1.0766323024055
1255,862,1021,0.844270323212537
1256,11507,20553,0.559869605410402
1257,3043,6531,0.465931710304701
1258,4079,1379,2.95794053662074
1259,178,108,1.64814814814815
1260,11691,7251,1.61232933388498
1261,5201,8717,0.596650223700815
1262,3485,1438,2.42350486787204
1263,2568,3169,0.810350268223414
1264,23997,7815,3.07063339731286
1265,22776,47481,0.4796866114867
1266,15897,58510,0.271697145787045
1267,68360,79116,0.864047727387633
1268,458,2303,0.198871037776813
1270,4209,8103,0.519437245464643
1271,385,734,0.524523160762943
1272,51,296,0.172297297297297
1273,7,317,0.0220820189274448
1274,893,821,1.08769792935445
1275,33,143,0.230769230769231
1276,132,371,0.355795148247978
1277,793,5617,0.141178565070322
1278,17,127,0.133858267716535
1279,1324,1237,1.07033144704931
1280,2614,3218,0.81230577998757
1281,2801,2307,1.21413090593845
1283,26853,29088,0.923164191419142
1284,77549,73895,1.04944854184992
1285,8793,4631,1.89872597711078
1286,45425,8264,5.49673281703775
1287,33759,86748,0.389161709780053
1288,10375,6412,1.61805988771054
1289,1957,2126,0.920507996237065
1290,46718,17869,2.61447199059824
1291,1825,1760,1.03693181818182
1292,5456,2990,1.8247491638796
1294,4972,35017,0.141988177171088
1307,52341,52063,1.00533968461287
1308,19358,21548,0.898366437720438
1309,38452,72963,0.527006839082823
1310,3137,11962,0.262247115866912
1311,424,277,1.53068592057762
1312,529,132,4.00757575757576
1313,308,117,2.63247863247863
1314,1177,267,4.40823970037453
1315,981,499,1.96593186372745
1316,31,39,0.794871794871795
1317,367,604,0.607615894039735
1318,2200,3821,0.575765506411934
1319,2391,5031,0.475253428741801
1320,836,1440,0.580555555555556
1321,359,592,0.606418918918919
1322,388,1144,0.339160839160839
1323,315,1023,0.30791788856305
1324,2619,3830,0.683812010443864
1325,543,1147,0.473408892763731
1326,343,2144,0.159981343283582
1327,599,1635,0.366360856269113
1328,23,58,0.396551724137931
1329,784,1030,0.761165048543689
1330,256,518,0.494208494208494
1331,497,677,0.734121122599705
1332,106,246,0.430894308943089
1333,52,128,0.40625
1334,14,140,0.1
1335,76,164,0.463414634146341
1336,4581,5722,0.800594197832926
1337,68,208,0.326923076923077
1338,12309,4494,2.73898531375167
1339,416,206,2.01941747572816
1340,10612,3804,2.78969505783386
1341,135,215,0.627906976744186
1342,923,532,1.73496240601504
1343,9874,3832,2.57672233820459
1344,696,398,1.74874371859296
1345,1795,1027,1.74780915287244
1346,1823,2487,0.733011660635304
1347,685,1205,0.568464730290456
1348,139,405,0.34320987654321
1349,478,642,0.744548286604361
1350,62,291,0.213058419243986
1353,1763,1323,1.33257747543462
1354,279,681,0.409691629955947
1355,13,27,0.481481481481481
1356,789,488,1.61680327868852
1359,4774,2474,1.92966855295069
1360,465,465,1
1361,1081,847,1.27626918536009
1362,4767,526,9.06273764258555
1363,1212,297,4.08080808080808
1364,10,42,0.238095238095238
1366,171,1023,0.167155425219941
1368,1480,2656,0.557228915662651
1369,10,29,0.344827586206897
1370,193,547,0.352833638025594
1371,89,223,0.399103139013453
1372,802,630,1.27301587301587
1373,2568,941,2.72901168969182
1374,300,607,0.494233937397035
1375,1829,644,2.84006211180124
1376,754,978,0.770961145194274
1377,279,165,1.69090909090909
1378,2016,859,2.34691501746217
1379,610,1687,0.36158861885003
1380,27,96,0.28125
1381,1486,1641,0.905545399146862
1382,44,21,2.0952380952381
1383,1298,589,2.20373514431239
1384,4317,9789,0.441005209929513
1385,1470,1006,1.46123260437376
1386,2558,1969,1.29913661757237
1388,2152,7398,0.290889429575561
1389,63,121,0.520661157024793
1390,418,439,0.952164009111617
1394,111,1485,0.0747474747474747
1395,6795,6446,1.05414210363016
1396,17282,13047,1.32459569249636
1397,7609,9119,0.834411667946047
1398,4753,3847,1.2355081881986
1399,196,130,1.50769230769231
1400,8610,2562,3.36065573770492
1401,3379,2581,1.30918248740798
1402,7766,3220,2.41180124223602
1403,1159,376,3.08244680851064
1404,18306,8092,2.2622343054869
1405,2459,4758,0.516813787305591
1406,816,1027,0.794547224926972
1407,7228,4463,1.619538427067
1408,16335,2704,6.04105029585799
1409,253,300,0.843333333333333
1410,1927,1229,1.56794141578519
1411,18544,3392,5.46698113207547
1412,3814,4878,0.781877818778188
1413,1322,732,1.80601092896175
1414,4092,2573,1.59036144578313
1415,36347,6175,5.88615384615385
1416,952,1023,0.930596285434995
1417,7236,2953,2.45038943447342
1418,18765,10415,1.80172827652424
1419,8744,9150,0.955628415300546
1420,0,8,0
1421,28115,5082,5.53227075954349
1422,5320,4269,1.24619348793628
1423,12955,3609,3.5896370185647
1424,4308,3383,1.27342595329589
1425,37757,16609,2.27328556806551
1426,32502,23870,1.36162547130289
1427,1092,1797,0.607679465776294
1428,48,53,0.905660377358491
1429,21060,11391,1.84882802212273
1430,66,238,0.277310924369748
1431,8202,3730,2.19892761394102
1432,2220,621,3.57487922705314
1433,1329,2606,0.509976976208749
1434,33,159,0.207547169811321
1435,330,741,0.445344129554656
1436,460,791,0.581542351453856
1437,782,631,1.23930269413629
1438,331,955,0.346596858638743
1439,207,766,0.27023498694517
1440,2072,1138,1.8207381370826
1441,3804,4117,0.923973767306291
1442,149,325,0.458461538461538
1443,283,348,0.813218390804598
1444,9514,2357,4.03648705982181
1445,2,4,0.5
1446,1966,756,2.6005291005291
1447,8898,4054,2.19486926492353
1448,487,518,0.94015444015444
1449,301,818,0.367970660146699
1450,53,203,0.261083743842365
1451,193,312,0.618589743589744
1452,103,549,0.187613843351548
1453,308,821,0.375152253349574
1454,6586,6208,1.06088917525773
1455,51262,4436,11.5559062218215
1456,550,288,1.90972222222222
1457,10621,3368,3.15350356294537
1458,4674,5109,0.914856136230182
1459,233,135,1.72592592592593
1460,423,217,1.94930875576037
1461,14306,5084,2.81392604248623
1462,428,573,0.746945898778359
1463,5355,3068,1.74543676662321
1464,2607,2139,1.21879382889201
1465,3435,3619,0.94915722575297
1466,2080,638,3.26018808777429
1467,54,191,0.282722513089005
1468,1906,1629,1.17004297114794
1469,1421,891,1.59483726150393
1470,127,395,0.321518987341772
1471,744,1467,0.507157464212679
1472,3200,2865,1.11692844677138
1473,8308,3205,2.59219968798752
1474,4097,3921,1.04488650854374
1475,3637,1718,2.11699650756694
1476,1367,1531,0.892880470280862
1477,17,42,0.404761904761905
1478,41,69,0.594202898550725
1479,65,251,0.258964143426295
1480,9330,4357,2.1413816846454
1481,106,55,1.92727272727273
1482,53,5,10.6
1483,60,160,0.375
1484,46,71,0.647887323943662
1485,332,225,1.47555555555556
1486,349,239,1.4602510460251
1487,253,53,4.77358490566038
1488,365,122,2.99180327868852
1489,474,146,3.24657534246575
1490,90,43,2.09302325581395
1491,7697,1651,4.66202301635373
1492,436,251,1.73705179282869
1493,289,308,0.938311688311688
1494,81,60,1.35
1495,1113,446,2.49551569506726
1496,285,248,1.1491935483871
1497,19,9,2.11111111111111
1498,0,6,0
1499,1438,2845,0.505448154657294
1500,543,1571,0.345639719923616
1501,8672,10779,0.804527321643937
1502,2607,5365,0.485927306616962
1503,802,3563,0.225091215268033
1504,1152,1071,1.07563025210084
1505,135,94,1.43617021276596
1506,331,1086,0.304788213627993
1507,291,789,0.368821292775665
1508,2927,767,3.81616688396349
1509,7390,1975,3.74177215189873
1510,576,809,0.711990111248455
1511,4275,2165,1.97459584295612
1512,3070,1741,1.76335439402642
1513,247,203,1.21674876847291
1514,135,222,0.608108108108108
1515,3494,3563,0.98063429694078
1549,166,636,0.261006289308176
1550,3869,4506,0.858632933865957
1551,641,930,0.689247311827957
1552,119,118,1.00847457627119
1553,44,40,1.1
1554,221,498,0.443775100401606
1555,15745,5720,2.75262237762238
1556,2845,763,3.72870249017038
1557,11,228,0.0482456140350877
1558,22,168,0.130952380952381
1559,123,243,0.506172839506173
1560,40,190,0.210526315789474
1561,247,6249,0.0395263242118739
1562,319,804,0.396766169154229
1563,1549,1210,1.2801652892562
1564,318,288,1.10416666666667
1565,87,577,0.150779896013865
1566,782,1096,0.713503649635037
1567,2035,2900,0.701724137931034
1568,12,122,0.0983606557377049
1569,2356,9493,0.248182871589592
1570,61,596,0.102348993288591
1571,101,402,0.251243781094527
1572,22,44,0.5
1573,0,2,0
